date,sales_accuracy,customer_accuracy,actual_sales,predicted_sales,actual_customers,predicted_customers
2024-06-14,70.08214873459183,83.87597725216278,37093.96,48191.676,177.0,148.46047973632812
2024-06-15,84.72900950756475,64.7291426225142,48097.490000000005,55442.453,220.0,142.40411376953125
2024-06-16,78.53913390847849,66.91039630344936,46520.43,56504.117,224.0,149.87928771972656
2024-06-17,27.877551954201877,45.97908020019531,30419.58,52358.926,120.0,184.82510375976562
2024-06-18,21.59307707554916,97.13283676698984,35895.56,64040.164,166.0,170.75949096679688
2024-06-19,62.49416210864232,73.82609937909389,46383.4,63779.883,229.0,169.061767578125
2024-06-20,0.0,79.70818782198256,29575.23,65667.36,138.0,166.00270080566406
2024-06-21,68.79546120059038,84.44906523733428,38734.61,50821.566,165.0,139.34095764160156
2024-06-22,92.30384153541648,58.8220611820376,51599.29,55570.453,246.0,144.7022705078125
2024-06-23,87.43414815791793,59.971259251113764,51708.880000000005,45211.22,242.0,145.1304473876953
2024-06-24,0.0,78.23636414574796,26061.49,62305.62,122.0,148.5516357421875
2024-06-25,13.431914532542436,98.60666035026904,30913.929999999997,57675.527,151.0,153.10394287109375
2024-06-26,64.24448081262666,52.384189744069786,39152.05,25153.031,193.0,101.10148620605469
2024-06-27,81.92037582060512,77.9095347334699,23887.86,28206.695,123.0,95.82872772216797
2024-06-28,89.19268531721247,45.79609715661337,38186.55,34059.61,172.0,78.769287109375
2024-06-29,98.7147819873232,38.080748788553386,43746.08,44308.312,211.0,80.35037994384766
2024-06-30,44.81283668604335,37.802060998004414,54503.67,24424.64,230.0,86.94474029541016
2024-07-01,79.61002736270497,98.78410177027925,32294.87,38879.785,141.0,139.28558349609375
2024-07-02,78.54108940265763,53.89485161425331,45924.25,36069.406,217.0,116.95182800292969
2024-07-03,61.76140266154256,87.99424171447754,29570.07,40877.25,144.0,126.71170806884766
2024-07-04,77.0834533848409,63.94820055424773,33926.41,26151.648,151.0,96.56178283691406
2024-07-05,73.5137844429913,78.50942502076599,37604.53,47564.547,174.0,136.6063995361328
2024-07-06,92.98438259985497,66.21676231628139,52283.07000000001,48615.09,219.0,145.01470947265625
2024-07-07,42.92656888830576,90.98921621311976,38948.119999999995,61177.15,179.0,162.87069702148438
2024-07-08,11.623141730772204,79.6805758436187,24018.99,45246.22,119.0,143.18011474609375
