date,sales_accuracy,customer_accuracy,actual_sales,predicted_sales,actual_customers,predicted_customers
2024-06-01,99.96112211745702,88.78698175603694,36096.600000000006,36082.56640625,165.0,146.49851989746094
2024-06-02,92.0812863552852,89.8416563521984,37169.630000000005,34226.2734375,172.0,154.52764892578125
2024-06-03,0.0,27.928997537364125,24766.15,58820.6328125,115.0,197.88165283203125
2024-06-04,64.39862700207571,69.94685420283565,26906.45,36485.515625,135.0,175.57174682617188
2024-06-05,90.04811957793679,87.83824831940407,26611.18,23962.8671875,129.0,144.68865966796875
2024-06-06,86.28128976441081,38.655633795751285,33989.25,29326.36328125,146.0,235.56277465820312
2024-06-07,52.02211621091783,94.53862201736634,37237.25,19371.60546875,166.0,175.06588745117188
2024-06-08,77.67559908501579,97.78823097153466,44461.97,34536.1015625,202.0,197.5322265625
2024-06-09,85.82037590591003,96.66404939640714,38103.95,32700.953125,177.0,182.90463256835938
2024-06-10,1.0647672216971529,60.34089209328235,32407.230000000003,64469.3984375,142.0,198.31593322753906
2024-06-11,80.20357163425928,90.14441911564317,32686.490000000005,26215.732421875,172.0,188.95159912109375
2024-06-12,78.39877964947706,47.34624606459889,29653.98,36059.6015625,134.0,204.5560302734375
2024-06-13,84.08801524330019,78.57007730693718,37967.5,44008.8828125,191.0,150.06884765625
2024-06-14,79.13586748691701,85.24162163168697,37093.96,44833.29296875,177.0,150.87767028808594
2024-06-15,62.97856577339066,69.48243574662642,48097.490000000005,30291.109375,220.0,152.86135864257812
2024-06-16,94.50731847813961,75.75687680925643,46520.43,43965.2109375,224.0,169.69540405273438
2024-06-17,95.91844555792683,71.71026865641277,30419.58,29177.98828125,120.0,153.9476776123047
2024-06-18,91.93183032246885,96.7303908014872,35895.56,32999.4453125,166.0,160.57244873046875
2024-06-19,74.21521964215647,72.96249856074304,46383.4,58343.2578125,229.0,167.08412170410156
2024-06-20,25.77304238208798,62.612472755321555,29575.23,51528.0234375,138.0,189.59478759765625
2024-06-21,63.49520090043504,87.5677490234375,38734.61,52874.6015625,165.0,185.51321411132812
2024-06-22,85.79686307214692,86.2931166237932,51599.29,58928.0078125,246.0,212.28106689453125
2024-06-23,82.41291800363882,84.39942667306947,51708.880000000005,42614.796875,242.0,204.24661254882812
2024-06-24,0.0,0.0,26061.49,60845.28125,122.0,262.11309814453125
2024-06-25,0.0,13.52892743041184,30913.929999999997,70131.15625,151.0,281.5713195800781
2024-06-26,64.11356593237136,84.8189437945272,39152.05,25101.775390625,193.0,163.7005615234375
2024-06-27,0.0,88.8275146484375,23887.86,55668.5859375,123.0,136.74215698242188
2024-06-28,45.60907857282211,54.825166214344115,38186.55,58956.56640625,172.0,94.29928588867188
2024-06-29,23.914972781561232,57.62027180025363,43746.08,77030.296875,211.0,121.57877349853516
2024-06-30,80.72802855523307,52.571351424507476,54503.67,43999.73828125,230.0,120.91410827636719
2024-07-01,10.969348614810954,83.95576206504876,32294.87,61047.203125,141.0,163.62237548828125
2024-07-02,78.4804001290168,47.46007963259649,45924.25,36041.53515625,217.0,102.98837280273438
2024-07-03,62.50981038428384,99.38971201578777,29570.07,40655.9453125,144.0,143.12118530273438
2024-07-04,48.469631356147026,64.16350610998293,33926.41,16444.005859375,151.0,96.88689422607422
2024-07-05,98.481963974819,88.44528198242188,37604.53,37033.6796875,174.0,153.89479064941406
2024-07-06,89.73759634332872,82.12214779091752,52283.07000000001,46917.5703125,219.0,179.84750366210938
2024-07-07,37.44300230344877,68.4470832014883,38948.119999999995,63312.89453125,179.0,235.47972106933594
2024-07-08,28.683958765543437,0.0,24018.99,41148.3828125,119.0,238.708984375
2024-07-09,24.118350033285978,0.0,31304.480000000003,55058.8359375,145.0,306.7203063964844
2024-07-10,32.18157079392776,0.0,32324.100000000002,54245.796875,147.0,346.06158447265625
2024-07-11,71.0220701064046,55.32466519263483,52956.36,37610.703125,248.0,137.20516967773438
2024-07-12,44.88501635685462,65.05568853699336,48638.630000000005,21831.45703125,202.0,131.41249084472656
2024-07-13,64.17578876935427,94.35738912442835,42255.54,57393.25390625,205.0,216.56735229492188
2024-07-14,95.03467282111242,99.22348022460938,48553.79,50964.64453125,220.0,221.70834350585938
2024-07-15,0.0,57.5736107764306,33571.94,108519.4296875,154.0,219.33663940429688
2024-07-16,5.75780329799764,80.05926774784842,42450.0,82455.8125,187.0,224.28916931152344
2024-07-17,0.0,96.56578911675348,39703.59,92084.921875,180.0,173.81842041015625
2024-07-18,16.581063385727518,80.80368041992188,37643.49,69045.2890625,192.0,155.14306640625
2024-07-19,14.86700156626334,58.488208007812496,49972.44,92515.4765625,250.0,146.22052001953125
2024-07-20,67.41776719146125,71.91173217305735,57616.83,76389.6796875,261.0,187.6896209716797
2024-07-21,0.0,85.36445495279078,39456.28,88863.0390625,187.0,214.36846923828125
2024-07-22,62.096277206644444,94.1379165649414,35699.0,49230.25,160.0,150.62066650390625
2024-07-23,96.79837500303904,62.069583157880594,45244.700000000004,46693.265625,218.0,135.3116912841797
2024-07-24,10.110377506301091,97.72488883372104,35358.88,67142.84375,178.0,182.04969787597656
2024-07-25,61.06884468309961,87.01054722211937,46289.94,64311.1484375,211.0,183.59225463867188
2024-07-26,0.0,94.48631805123635,47131.72,106072.4296875,206.0,217.35818481445312
2024-07-27,87.03008738262938,75.9295049703346,47514.02,53676.546875,212.0,160.97055053710938
2024-07-28,56.5785513250998,67.88321708325093,53014.12,29994.62109375,237.0,160.8832244873047
2024-07-29,80.83197838832098,71.94433119690534,47646.46,56779.34375,206.0,148.205322265625
2024-07-30,40.399367726775694,78.38676980456466,34788.56,55522.76171875,159.0,124.63496398925781
2024-07-31,28.699250386057102,74.0625725781664,39132.81,67034.796875,188.0,139.23763644695282
